,value,geometry,lon,lat
104,38.0,POINT (639746.3717891749 5597617.340264572),639746.372,5597617.34
105,35.0,POINT (658036.1660339168 5597622.657717216),658036.166,5597622.658
106,38.0,POINT (638731.5765145773 5597541.470125585),638731.577,5597541.47
107,35.0,POINT (649900.4554992 5597580.32721634),649900.455,5597580.327
108,27.0,POINT (654137.1180507328 5597524.222538879),654137.118,5597524.223
109,38.0,POINT (645731.234996369 5597463.939808785),645731.235,5597463.94
110,9.0,POINT (658619.028901442 5597343.461702066),658619.029,5597343.462
111,35.0,POINT (650953.3965023655 5597296.223125938),650953.397,5597296.223
112,26.0,POINT (653330.0403140077 5597211.256844931),653330.04,5597211.257
113,30.0,POINT (645664.4602209949 5597209.784501359),645664.46,5597209.785
114,33.0,POINT (653963.4228950009 5597190.706874941),653963.423,5597190.707
115,39.0,POINT (653152.3424668043 5597133.834840205),653152.342,5597133.835
116,37.0,POINT (649943.0937509224 5597105.921917785),649943.094,5597105.922
117,39.0,POINT (640196.5914016572 5596665.639005836),640196.591,5596665.639
118,40.0,POINT (652909.7821671417 5596676.746857787),652909.782,5596676.747
119,40.0,POINT (662023.925584878 5596660.262887851),662023.926,5596660.263
120,35.0,POINT (652185.4033346353 5596618.471755074),652185.403,5596618.472
121,31.0,POINT (661324.1643535468 5596577.841737892),661324.164,5596577.842
122,39.0,POINT (655647.1754128581 5596539.578498984),655647.175,5596539.578
123,20.0,POINT (655868.7150442752 5596479.04879258),655868.715,5596479.049
124,40.0,POINT (639179.6849257333 5596449.178675083),639179.685,5596449.179
125,38.0,POINT (642693.6037431671 5596690.53963486),642693.604,5596690.54
126,39.0,POINT (646537.208764569 5596298.521760781),646537.209,5596298.522
127,37.0,POINT (654176.6838582809 5596278.615384507),654176.684,5596278.615
128,39.0,POINT (648452.5145880554 5596276.003971307),648452.515,5596276.004
129,39.0,POINT (657695.0607156762 5596251.253181955),657695.061,5596251.253
130,31.0,POINT (659064.3444862842 5596311.218983096),659064.344,5596311.219
131,40.0,POINT (651863.8448739866 5596241.319730027),651863.845,5596241.32
132,26.0,POINT (659097.7684513148 5596219.078363048),659097.768,5596219.078
133,37.0,POINT (661970.004546722 5596197.264206644),661970.005,5596197.264
134,37.0,POINT (642332.9148156474 5596142.901012348),642332.915,5596142.901
135,35.0,POINT (638014.2947752961 5596109.189274248),638014.295,5596109.189
136,38.0,POINT (660954.4614375585 5596080.600494661),660954.461,5596080.6
137,31.0,POINT (660802.2608109948 5596177.662787546),660802.261,5596177.663
138,39.0,POINT (638676.2890624981 5596119.786863347),638676.289,5596119.787
139,40.0,POINT (661474.2561894903 5595995.781121922),661474.256,5595995.781
140,31.0,POINT (659451.7322061041 5596216.964743212),659451.732,5596216.965
